_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
25401,1504,6235,Battle Cry of Freedom,2003.0,America Triumphant - Battle of the Bulge,2003.0
25411,1504,6695,Battle Cry of Freedom,2003.0,Transformers Armada - Battle for Cybertron,2003.0
25685,1554,6652,Trivial Pursuit: DVD Pop Culture Game,2003.0,Trivial Pursuit DVD - Pop Culture,2003.0
26271,1575,902,Ideology: The War of Ideas,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
26353,1575,9944,Ideology: The War of Ideas,2003.0,Korea: The Forgotten War,2003.0
27745,1644,1116,Lucky Loop,2003.0,Lucky Loop,2003.0
28111,1652,902,History of War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
28193,1652,9944,History of War,2003.0,Korea: The Forgotten War,2003.0
29304,1686,606,Anno 1503,2003.0,Anno 1503,2003.0
30482,1710,8067,The Bridges of Shangri-La,2003.0,The Bridges of Shangri-La,2003.0
30719,1725,3529,Hey That's My Fish!,2003.0,"Hey, That's My Fish!",2003.0
30744,1725,6629,Hey That's My Fish!,2003.0,Fish Eat Fish,2003.0
30783,1727,1426,Dungeoneer: Vault of the Fiends,2003.0,Dungeoneer: Vault of the Fiends,2003.0
30935,1739,6948,Quest for the DragonLords: The Crystal of Power,2003.0,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003.0
30972,1742,1709,The 90's Game,2003.0,"90's Game, The",2003.0
31331,1750,902,Pacific At War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
31413,1750,9944,Pacific At War,2003.0,Korea: The Forgotten War,2003.0
31725,1776,3159,& Cetera,2003.0,&cetera,2003.0
32758,1862,6139,Top Speed,2003.0,Big Top,2003.0
32780,1862,7910,Top Speed,2003.0,Jungle Speed: The Extreme Expansion,2003.0
33079,1931,902,The Great Pacific War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
33161,1931,9944,The Great Pacific War,2003.0,Korea: The Forgotten War,2003.0
33192,1949,2532,Battlecards: World Conflict - North African Campaign - Starter Set,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
33217,1949,6071,Battlecards: World Conflict - North African Campaign - Starter Set,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
33248,1949,9120,Battlecards: World Conflict - North African Campaign - Starter Set,2003.0,Battlelines: The Stalingrad Campaign,2003.0
33355,1966,902,Barbary Coast War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
33437,1966,9944,Barbary Coast War,2003.0,Korea: The Forgotten War,2003.0
33718,1978,381,Hector and Achilles,2003.0,Hector and Achilles,2003.0
34319,2015,5515,Tyrant: Battles of Carthage versus Syracuse,2003.0,Brick Battles,2003.0
34654,2028,1961,Lord of the Rings: Battle of Destiny,2003.0,Battle Cry of Freedom,2003.0
34693,2028,6235,Lord of the Rings: Battle of Destiny,2003.0,America Triumphant - Battle of the Bulge,2003.0
34703,2028,6695,Lord of the Rings: Battle of Destiny,2003.0,Transformers Armada - Battle for Cybertron,2003.0
34756,2035,2532,Risk: Lord of the Rings Expansion Set (incl. Siege of Minas Tirith game),2003.0,Duel of Ages Set 1: Worldspanner,2003.0
