_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
6801,6270,8236,The Game of Catholic Trivia,1985.0,Ace of Aces - Balloon Buster,1985.0
6805,6270,9313,The Game of Catholic Trivia,1985.0,Star Trek - The Adventure Game,1985.0
6824,6292,9011,Star Trek: The Enterprise^4 Encounter,1985.0,Star Trek: The Enterprise^4 Encounter,1985.0
6825,6292,9313,Star Trek: The Enterprise^4 Encounter,1985.0,Star Trek - The Adventure Game,1985.0
6862,6348,8778,Trivial Pursuit: Walt Disney Family Edition Card Set,1985.0,Trivial Detective,1985.0
6950,6528,2690,Ruweisat Ridge: The First Battle of El Alamein,1985.0,Battle of the Bulge (1st Printing),1985.0
6952,6528,3027,Ruweisat Ridge: The First Battle of El Alamein,1985.0,"Eye of the Idol, The",1985.0
6953,6528,3647,Ruweisat Ridge: The First Battle of El Alamein,1985.0,World War II - European Theater of Operations,1985.0
6961,6528,8236,Ruweisat Ridge: The First Battle of El Alamein,1985.0,Ace of Aces - Balloon Buster,1985.0
6963,6528,8937,Ruweisat Ridge: The First Battle of El Alamein,1985.0,Main Battle Area,1985.0
6985,6535,9313,The Whale Game,1985.0,Star Trek - The Adventure Game,1985.0
7073,6623,3647,L-Gaim Mark II,1985.0,World War II - European Theater of Operations,1985.0
7110,6945,2690,Norseman: Viking Kingdoms of the North Sea,1985.0,Battle of the Bulge (1st Printing),1985.0
7112,6945,3027,Norseman: Viking Kingdoms of the North Sea,1985.0,"Eye of the Idol, The",1985.0
7113,6945,3647,Norseman: Viking Kingdoms of the North Sea,1985.0,World War II - European Theater of Operations,1985.0
7121,6945,8236,Norseman: Viking Kingdoms of the North Sea,1985.0,Ace of Aces - Balloon Buster,1985.0
7628,18,3617,World Cup in the Void,2003.0,Balloon Cup,2003.0
7687,20,902,Korea: The Forgotten War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
7769,20,9944,Korea: The Forgotten War,2003.0,Korea: The Forgotten War,2003.0
7980,25,2126,Lights Camera Action,2003.0,Dying Lights,2003.0
8334,46,1245,Munchkin 3: Clerical Errors,2003.0,Munchkin 3: Clerical Errors,2003.0
8426,47,1245,Munchkin Fu,2003.0,Munchkin 3: Clerical Errors,2003.0
8514,48,811,Lord of the Rings Trivia Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
8515,48,902,Lord of the Rings Trivia Game,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
8519,48,1426,Lord of the Rings Trivia Game,2003.0,Dungeoneer: Vault of the Fiends,2003.0
8522,48,1690,Lord of the Rings Trivia Game,2003.0,Mission Command - Air Game,2003.0
8524,48,1709,Lord of the Rings Trivia Game,2003.0,"90's Game, The",2003.0
8526,48,1961,Lord of the Rings Trivia Game,2003.0,Battle Cry of Freedom,2003.0
8530,48,2080,Lord of the Rings Trivia Game,2003.0,Granada - The Fall of Moslem Spain,2003.0
8533,48,2197,Lord of the Rings Trivia Game,2003.0,"Suicide Bomber Card Game, The",2003.0
8536,48,2532,Lord of the Rings Trivia Game,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
8543,48,3312,Lord of the Rings Trivia Game,2003.0,Pack of Flies,2003.0
8549,48,3779,Lord of the Rings Trivia Game,2003.0,Mission Command - Sea Game,2003.0
8551,48,4121,Lord of the Rings Trivia Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
8556,48,4933,Lord of the Rings Trivia Game,2003.0,Ark Of The Covenant,2003.0
8558,48,5488,Lord of the Rings Trivia Game,2003.0,Legends of Football,2003.0
8561,48,6071,Lord of the Rings Trivia Game,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
8565,48,6235,Lord of the Rings Trivia Game,2003.0,America Triumphant - Battle of the Bulge,2003.0
8570,48,6505,Lord of the Rings Trivia Game,2003.0,The Fall of France,2003.0
8586,48,8067,Lord of the Rings Trivia Game,2003.0,The Bridges of Shangri-La,2003.0
8684,52,9120,Battlelines: The Stalingrad Campaign,2003.0,Battlelines: The Stalingrad Campaign,2003.0
8698,53,811,American Idol Board Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
8706,53,1690,American Idol Board Game,2003.0,Mission Command - Air Game,2003.0
8707,53,1691,American Idol Board Game,2003.0,Liberty: The American Revolution 1775-83,2003.0
8708,53,1709,American Idol Board Game,2003.0,"90's Game, The",2003.0
8717,53,2197,American Idol Board Game,2003.0,"Suicide Bomber Card Game, The",2003.0
8733,53,3779,American Idol Board Game,2003.0,Mission Command - Sea Game,2003.0
